workflow_id,state_machine
interactive_turn_v1,planner_executor_critic_reflector_terminal
provisioning_v9,preflight_to_active_with_compensation
onboarding_v1,four_stage_discovery_sequence
drift_watchdog_v1,health_diff_quarantine_review
outbox_hold_worker,hold_window_dispatch
memory_consolidation,merge_embed_expire
daily_capture_v1,end_of_day_introspection
daily_log_capture_v1,post_turn_accumulator
goal_review_v1,periodic_goal_review
trust_eval_v1,daily_trust_score_eval
learning_consolidation_v1,feedback_to_lesson
capability_exploration_v1,usage_pattern_recommendation
cross_repo_analysis_v1,cross_repo_pattern_detection
mission_control_refresh_v1,widget_refresh_pipeline
rag_ingest_v1,chunk_embed_index
rag_eval_v1,faithfulness_relevance_eval
tool_health_eval_v1,score_and_quarantine
memory_conflict_resolve_v1,crdt_conflict_resolution
compliance_evidence_v1,soc2_gdpr_ccpa_collection
admin_kpi_report_v1,kpi_aggregation
admin_alert_eval_v1,alert_rule_evaluation
cache_maintenance_v1,ttl_invalidation_cycle
